id,state_id,state,district_id,district,city_id,city,loc_id,locality,subloc_id,sublocality,alt_name,pincode,latitude1,longitude1,latitude2,longitude2
3713,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23846,Khande Wasti,,411026,18.643109,73.827471,18.63772,73.809395
3714,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12211,Bhosari,23846,Khande Wasti,,411026,18.643109,73.827471,18.63772,73.809395
3715,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23847,Vidya Nagar,,411019,18.652793,73.797929,18.63772,73.809395
3716,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23847,Vidya Nagar,,411019,18.652793,73.797929,18.63772,73.809395
3717,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23848,D-Ii Block,,411019,18.649883,73.805515,18.63772,73.809395
3718,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23848,D-Ii Block,,411019,18.649883,73.805515,18.63772,73.809395
3719,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23849,Kalbhor Nagar,,411019,18.648505,73.79109,18.63772,73.809395
3720,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23849,Kalbhor Nagar,,411019,18.648505,73.79109,18.63772,73.809395
3721,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23850,Mohan Nagar,,411019,18.644412,73.796643,18.63772,73.809395
3722,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23850,Mohan Nagar,,411019,18.644412,73.796643,18.63772,73.809395
3723,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23851,D-1 Block,,411019,18.657627,73.797012,18.63772,73.809395
3724,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12236,Chinchwad,23851,D-1 Block,,411019,18.657627,73.797012,18.63772,73.809395
3725,21,Maharashtra,176,Pune,204,Pimpri Chinchwad,12234,Midc,23852,G Block,,411019,18.663031,73.799109,18.63772,73.809395
